title,title_en,general_field,authors,source,path
أثر التعلیم الإلکترونی على تنمیة المهارات التدریسیة لدى طلبة کلیة التربیة الأساسیة فی دولة الکویت,,,"[""حامــد سعيـد الجبـر""]",AJP,finalpdfs/AJP_1027_11.pdf
درجة ممارسة سلوک المواطنة التنظیمیة لدى قائدات مدارس التعلیم العام الحکومیة فی مدینة الریاض,,,"[""صالحـة حنــس خلـف""]",AJP,finalpdfs/AJP_1028_12.pdf
متطلبات تکنولوجیا المعلومات لتحقیق الرشاقة الاستراتیجیة بالجامعات المصریة.,,,"[""عنتر محمد أحمد""]",AJP,finalpdfs/AJP_1029_13.pdf
فاعلیة استخدام التقویم التکوینی فی تحسین مستوى التحصیل الدراسی لمقرر مهارات التفکیر والبحث العلمی لدى طلاب کلیة إدارة الأعمال بجامعة شقراء,,,"[""عيسـى بن فـرج العزيزي""]",AJP,finalpdfs/AJP_1030_14.pdf
برنامج تعلیمی مقترح قائم على التعلم المستند إلى الدماغ فی اکتساب المفاهیم العلمیة لمادة العلوم والقدرة على حل المشکلات لتلامیذ الصف السابع من التعلیم الأساسی,,,"[""منى مصطفى كمال محمد""]",AJP,finalpdfs/AJP_1031_15.pdf
نموذج بنائی للقدرة على حل المشکلات فی ضوء بعض المکونات المعرفیة والدافعیة لدى طالبات الجامعة,,,"[""هشام محمد الخولي""]",AJP,finalpdfs/AJP_1032_16.pdf
استراتیجیة مقترحة لتفعیل دور التعلم التنظیمی فی تحقیق المیزة التنافسیة لجامعة أسوان,,,"[""حنـان البـدري كمـال""]",AJP,finalpdfs/AJP_1033_17.pdf
الفروق فی السلوک التوکیدی بین المعتمدین وغیر المعتمدین علی المواد النفسیة,,,"[""هبه إبراهيم""]",AJP,finalpdfs/AJP_1034_18.pdf
فاعلیة برنامج اثرائی قائم على الأنشطة الریاضیة فی تنمیة مکونات الحس العددی لدى طلاب الصف الأول المتوسط,,,"[""عبيد مزعل عبيد الحربي""]",AJP,finalpdfs/AJP_1035_19.pdf
توظیف بعض تطبیقات الجوال فی التدریب عن بعد لتنمیة مهارات استخدام مواقع البث المباشر فی التدریس لدى أعضاء هیئة التدریس,,,"[""محمد محمود عبدالوهاب""]",AJP,finalpdfs/AJP_1036_20.pdf
أخلاقيات الذكاء الاصطناعي: التعامل مع المعضلات الأخلاقية للذكاء الاصطناعي,The Ethics of AI: Navigating the Moral Dilemmas of Artificial Intelligence,,"[""Fayyad Muhammad Hani Bayan""]",AJSP,finalpdfs/The Ethics of AI Navigating the Moral Dilemmas of Artificial Intelligence Revised_1.pdf
دور التدريب على تكنولوجيا الإعلام الجديد في تعزيز احترافية الصحفيين الاستقصائيين العرب,The Role of Training on New Media Technology in Boosting Arab Investigative Journalists’ professionalism,,"[""Khalil Almabrouk1 & *Hamedi Adnan,2""]",AJSP,finalpdfs/The Role of Training on New Media Technology in Boosting Arab Investigative Journalists’ professionalism_2.pdf
"""أثر التغيير التنظيمي على ضوء رؤية المملكة 2030 على جودة الحياة الوظيفية: دراسة ميدانية على موظفي فرع وزارة الموارد البشرية والتنمية الاجتماعية بمنطقة المدينة المنورة""",“The impact of organizational change in light of the Kingdom’s Vision 2030 on the quality of work life: a field study on employees of the branch of the Ministry of Human Resources and Social Development in the Medina region.”,,"[""عبد الله بن حميد بن محارب الجهني/د. علي عمر عبدالله جفري""]",AJSP,finalpdfs/أثر التغيير التنظيمي على ضوء رؤية المملكة 2030 على جودة الحياة الوظيفية_3.pdf
"""العوامل التي تسهم في نشوب حرائق الغابات وآثارها -منطقة عسير انموذجاً""",“Factors that contribute to the outbreak of forest fires and their effects - the Asir region as an example”,,"[""علا على آل عسوج""]",AJSP,finalpdfs/العوامل التي تسهم في نشوب حرائق الغابات وآثارها -منطقة عسير انموذجاً_4.pdf
"""المشكلات السلوكية لدى طلبة ذوي صعوبات التعلم المحددة في المدارس الاساسية داخل القدس من وجهة نظر المعلمين""",“Behavioral problems among students with specific learning difficulties in basic schools in Jerusalem from the point of view of teachers”,,"[""أ‌./tنفيسة سعيدة""]",AJSP,finalpdfs/المشكلات السلوكية لدى طلبة ذوي صعوبات التعلم المحددة في المدارس الاساسية داخل القدس من وجهة نظر المعلمين_5.pdf
"""أهميّة تعليم المجاز لمتعلمي العربية من غير الناطقين بها""","""The importance of teaching metaphor to non-native Arabic learners""",,"[""د. ديمة إبراهيم نوارة""]",AJSP,finalpdfs/أهميّة تعليم المجاز لمتعلمي العربية من غير الناطقين بها_6.pdf
"""جريمة الإستغلال الإقتصادي للطفل في النظام السعودي""",“The crime of economic exploitation of children in the Saudi system”,,"[""منال حضيض الشاطري""]",AJSP,finalpdfs/جريمة الإستغلال الإقتصادي للطفل في النظام السعودي_7.pdf
"""ظاهرة العنف ضد المسنين وإتجاهات المجتمع السعودي نحوها""",“The phenomenon of violence against the elderly and Saudi society’s attitudes towards it”,,"[""هاجر بنت فارس الشهري/أنفال بنت مسعود القحطاني/د. آمال فلمبان""]",AJSP,finalpdfs/ظاهرة العنف ضد المسنين وإتجاهات المجتمع السعودي نحوها_8.pdf
"""مدى ملائمة مدارس دولة الكويت من حيث التصميم المعماري لتلبية إحتياجات ذوي الإعاقة""",“The suitability of schools in the State of Kuwait in terms of architectural design to meet the needs of people with disabilities”,,"[""د. يوسف محمود شاكر الشطي""]",AJSP,finalpdfs/مدى ملائمة مدارس دولة الكويت من حيث التصميم المعماري لتلبية إحتياجات ذوي الإعاقة_10.pdf
"""الإنفاق الحكومي على القطاع الصحي وأثره على النمو الاقتصادي في المملكة العربية السعودية (2000-2020م)""",“Government spending on the health sector and its impact on economic growth in the Kingdom of Saudi Arabia (2000-2020 AD)”,,"[""هلا العتيبي""]",AJSP,finalpdfs/الإنفاق الحكومي على القطاع الصحي وأثره على النمو الاقتصادي في المملكة العربية السعودية _11.pdf
"""دور إنتاج الطاقة المتجددة في تحقيق التنمية المستدامة دراسة تطبيقية على شركة الكهرباء السعودية""","“The role of renewable energy production in achieving sustainable development, an applied study on the Saudi Electricity Company”",,"[""صالح خلف العنزي/رهام مساعد الجارالله/عبد المجيد علي الفريدي""]",AJSP,finalpdfs/دور إنتاج الطاقة المتجددة في تحقيق التنمية المستدامة دراسة تطبيقية على شركة الكهرباء السعودية_12.pdf
,The Role of Digital Transformation in Improving Medical Center Management Efficiency Primary Healthcare Centers in Northern Syria as a Model,,"[""Hussam Ahmad Hlaak"", ""Ali Alhousain Aleid"", ""Attia Al-Huseyin""]",ajsrp,finalpdfs/9159-8054.pdf
,U.S. Interests in the Middle East and the Tools for Their Protection,,"[""Tarek Jarjoura Chahine""]",ajsrp,finalpdfs/9160-8051.pdf
,A New Paradigm of Institutional SouthSouth Cooperation Arab Strategies in the South Pacific and Their Impact on Global Governance,,"[""AI Hexu""]",ajsrp,finalpdfs/9161-8053.pdf
,Evaluation of Student Achievement Levels A Framework for Advancing Academic Outcomes,,"[""Amera Eid Alsaadi""]",ajsrp,finalpdfs/9162-8055.pdf
,The Expected Economic Impacts of Sudan's Accession to the WTO The Case of the Banking Sector 1970-2008,,"[""Abubakr Eltigani Elhag""]",ajsrp,finalpdfs/9163-8052.pdf
,The image of the General Entertainment Authority among a sample of male and female students at King Abdulaziz University,,"[""Rahaf Hmeed Alotaibi"", ""Fatima kobibi Bendenia""]",ajsrp,finalpdfs/8945-7864.pdf
,Aesthetic Modernity and Its Dilemmas Art between the Demand for Independence and the bet of Penetrating Public Space,,"[""Ahmed Chebli""]",ajsrp,finalpdfs/8946-8144.pdf
,Social and Cultural Barriers to the Empowerment of Yemeni Women in Public Employment (An Analytical Field Study),,"[""Fatima Ali Abdullah Abbas""]",ajsrp,finalpdfs/8947-7867.pdf
,The pragmatic dimension of pronunciation in The Maqamat of Badi Al-Zaman Al-Hamdhani - the Maqamat Al-Harziyya as an example,,"[""Alia Ali Saeed Alketbi"", ""Muhammad Hilmi Abdullah Jaafar""]",ajsrp,finalpdfs/8948-7868.pdf
,The role of the media in spreading digital awareness among members of society in the Kingdom of Saudi Arabia,,"[""Faris Omar Batawi"", ""Doaa Hassan Toweirqie""]",ajsrp,finalpdfs/8949-7865.pdf
,"The Role of Modern Information Technologies in Promoting Scientific Research in Saudi Universities Challenges, Requirements, and Future Opportunities",,"[""Ashwaq Abdulhakeem Alsabaan""]",ajsrp,finalpdfs/8706-7654.pdf
,The Impact of Virtual Reality Technologies in Digital Media on Audience Experience  An Applied Study on Real Estate Events in The Kingdom of Saudi Arabia During the Year 2025,,"[""Sara Saad Al-Dawsari"", ""Sadiq Ali Mubarak Al-Shuwaikhat""]",ajsrp,finalpdfs/8708-7655.pdf
,The Implications of Polygamy on the Demographic Reality in Palestinian Society and the Stance of Israeli Civil Laws Towards It,,"[""Samy Garad Abu Freach""]",ajsrp,finalpdfs/8710-7656.pdf
,"Translation is a cultural and human civilizational manifestation, and technical skills  for the rapprochement of peoples and nations",,"[""Jehad Faiz Al-Islam""]",ajsrp,finalpdfs/8714-7658.pdf
,MATLAB Implementation of Effects of Fifth Generation on Free Space,,"[""Rayan Abdelazeem Haboub"", ""Khalid Hamid Bilal""]",ajsrp,finalpdfs/8716-7659.pdf
,The Use of Generative Artificial Intelligence in Graduate Studies Research A Case Study,,"[""Turki Mohammed Habkoor Almoharraq""]",ajsrp,finalpdfs/8314-7482.pdf
,The problem of complexity and Consistency in the intelligence cycle A critique of the effects of structural and dynamic interactions on intelligence efficiency,,"[""Mohamed Elzin Mohamed Ahmed Ibrahim""]",ajsrp,finalpdfs/8316-7483.pdf
,Evaluation of the Governance of the National Initiative for Human Development and Its Impact on Territorial Development in Morocco's Eastern Rif from 2005 to 2024 A Case Study of the Oulad Zbair and Beni Frassen Communities,,"[""Mohamed El-Fazziki"", ""Fatima Ghmimed"", ""Jawad El-Bazwi"", ""Abdelouahed Bouberria""]",ajsrp,finalpdfs/8318-7484.pdf
,"The Big Five factors of personality model A study of history, evolution, and areas of application in the digital context",,"[""Reda El-Yazidi""]",ajsrp,finalpdfs/8320-7485.pdf
,Draft proposal to facilitate the receipt and kissing of black stone for pilgrims and worshipers,,"[""Mohamed Hanafy Abdullah Morsy""]",ajsrp,finalpdfs/8322-7486.pdf
,"Economical relations between The Extremity Maghreb and Western Sudan during The Eighth Century AH, Fourteenth century AD",,"[""Assadik Ahmad Adam"", ""Mahamat Saleh Daway""]",ajsrp,finalpdfs/8324-7487.pdf
,The future roles of school principals in light of the trend towards a knowledge society,,"[""Rimah Mudawi Mansour""]",ajsrp,finalpdfs/7997-7271.pdf
,The tracking of the development and spread of Covid 19 pandemic in the territory of the Taza Province / Morocco,,"[""Abdelouahed Bouberria"", ""Abdelhafid Hammimi"", ""Mohammed Abahrour"", ""Mohammed Errafik""]",ajsrp,finalpdfs/7999-7334.pdf
,The Impact of Advertising Campaigns on Consumers Purchasing Decision in Delivery Application A Field Study on Grocery Delivery App in Saudi Arabia,,"[""Wasaef Ali Bakhashwain"", ""Lara Zainalabdien Serri"", ""Mohamed GadElmawla Owies""]",ajsrp,finalpdfs/8001-7338.pdf
,"The Relation of Governance Principles with Job Satisfaction with the Employees of the Ministry of Education, Sultanate of Oman",,"[""Mouza Said Al-Kharusi""]",ajsrp,finalpdfs/8003-7336.pdf
,The emergence of modern intellectual Currents The Aqeeqah feast between the permissible and the forbidden in northern Togo Cinkasse,,"[""Ibrahim Youssif""]",ajsrp,finalpdfs/8005-7337.pdf
,The field of intelligence study in academic institutions A comparative analytical study of American and British intelligence studies,,"[""Mohamed Elzin Mohamed Ahmed Ibrahim""]",ajsrp,finalpdfs/7677-7123.pdf
,The effectiveness of the Madrasati platform according to the Needham constructivist model  in increasing achievement of second-year intermediate female students in the TIMSS tests  (algebra field) and the teachers point of view,,"[""Mariam Farhan Alfifi"", ""Ghada Owaid Awad Al-Sahli""]",ajsrp,finalpdfs/7679-7128.pdf
,Social support programs its effects on girls schooling and reducing dropping out of school in the northeast middle Atlas  Morocco,,"[""Abdelilah El-Alami"", ""Jaouad El-Bazoui"", ""Abdelouahed Bouberria""]",ajsrp,finalpdfs/7683-7127.pdf
,The growing influence of China in the Middle East and its implications for US relations,,"[""Khaldoun Abdul Samad""]",ajsrp,finalpdfs/7685-7126.pdf
,"Balfour's Legacy Britain, Zionism, and the Controversial Path to Israel's Establishment",,"[""Ali Mohammed Qader""]",ajsrp,finalpdfs/7687-7125.pdf
,The Impact of Organizational Citizenship on Job Performance of Employees in the Private Automotive Sector in Saudi Arabia in the light of 2030s vision,,"[""Ahmed Farouk Ali"", ""Elsayed Eid"", ""Heba Alhadad""]",ajsrp,finalpdfs/7689-7124.pdf
,"Suicide causes, motives, methods of prevention and treatment",,"[""Inaam Eid Mohammad Zaatrh"", ""Iyad Selim AbdulRazzaq Alhallaq""]",ajsrp,finalpdfs/7359-6933.pdf
,"The role of the ruling elites in exacerbating ethnic, denominational discrimination and its Impact on the emergence of social movement in the second wave of the Arab Spring in Sudan",,"[""Farida Ezzaghari""]",ajsrp,finalpdfs/7360-6934.pdf
,The quantitative assessment of water erosion in the southeast of Central Rif  Morocco,,"[""Mohamed Senhaji"", ""Mohamed Abahrour"", ""Mostafa Hmamouchi"", ""Younes Abahrour""]",ajsrp,finalpdfs/7361-6935.pdf
,"Generalization of the Fibonacci sequence, Pascal's triangle, and the binomial theorem",,"[""Mohammed Elsmani Abdelrahman""]",ajsrp,finalpdfs/7362-6936.pdf
,Related Strategies and Practices of News Institutions in Dealing with News Text Addressing Issues of Islamists (Study Case BBC World and Al-Arabiya 2022),,"[""Hind Saad Alrashid""]",ajsrp,finalpdfs/7363-6937.pdf
,"The reasons for intellectual differences from the perspective of Islamic law, and the role of Saudi universities in confronting them",,"[""Sekina Mohamed Mohamed Abd El Halim"", ""Amal Abdelaziz Mohamed Ghazy""]",ajsrp,finalpdfs/7136-6728.pdf
,Semiotics of the Saudi heritage in the light of contemporary technology,,"[""Manal Eid Sanusi Abjabal"", ""Foton Fouad Abdulkadir Fayoumi""]",ajsrp,finalpdfs/7137-6729.pdf
,The effects of the Corona pandemic on the current and future situation of organizing and holding events and occasions a field study on the General Entertainment Authority in Kingdom of Saudi Arabia,,"[""Rayan AbdulAziz Iraqi"", ""Shaheen Sulaiman Al-Abdali"", ""Mansour Talal Abid Alansari""]",ajsrp,finalpdfs/7138-6730.pdf
,Spatial analysis of residential land prices in Jeddah city,,"[""Shaker Abdullah Alsharif""]",ajsrp,finalpdfs/7139-6731.pdf
,Palestinian Scientific Research from the Perspective of Master's Students Exploring Reality and Aspirations,,"[""Osama Matar"", ""Reem Jawabreh"", ""Haya Radwan"", ""Abedelrahman Alhajhamad"", ""Mohammad Ayyash"", ""Sherin Kaleef"", ""Thaher Gharabeh"", ""Ashraf Abualrob"", ""Aseel Halabi"", ""Diya Abu Shomer""]",ajsrp,finalpdfs/7140-6732.pdf
,Piecewise Linear Discontinuous Petrov Galerkin Method for Time Fractional Diffusion Equations,,"[""Basheer Saleh Abdallah""]",ajsrp,finalpdfs/7142-6733.pdf
,An analysis of political speeches on racism by president Donald Trump during his presidency,,"[""Brooj Nasser Abdullah Alsaqer""]",ajsrp,finalpdfs/6845-6455.pdf
,"Reality and challenges of the work environment of Agricultural Engineers working in the private and non-governmental sectors in the West Bank, Palestine considering some variables",,"[""Salem Khalil Nassr"", ""Doaa Zayed""]",ajsrp,finalpdfs/6843-6453.pdf
,Mohamed Ali Al-Tajer and His Book Aqd al-Laal fi Tarikh Awal A Critical reading of its content in the history of Bahrain,,"[""Khalid Ismail Nayif Al-Hamadani""]",ajsrp,finalpdfs/6841-6451.pdf
,Images of Arabs and Islam in Burtons Pilgrimage to Al-Madinah and Meccah,,"[""Abdulkarim Mohammad Alseadoon"", ""Geoffrey Nash""]",ajsrp,finalpdfs/6846-6456.pdf
,The motives of the Sudanese citizen's use of YouTube and the gratifications achieved from it sample of citizens of Khartoum State for the year 2023,,"[""Badereldin Ali Hamed Mohammed""]",ajsrp,finalpdfs/6844-6454.pdf
,The ideal theory in Platos Philosophy and its relevance to man and the universe,,"[""Nadha Mutlaq ALbogami""]",ajsrp,finalpdfs/6842-6452.pdf
,The Translation of Yemeni Arabic legal documents into English Problems and Suggestions,,"[""Hakima Mansour Ahmed Khoshafah""]",ajsrp,finalpdfs/6847-6457.pdf
,The extent of the legitimacy of Arab peace treaties with the Zionist enemy entity in Islamic law and man-made legislation,,"[""Hameed Aadm Ali Qushaimh""]",ajsrp,finalpdfs/6518-6166.pdf
,"The effectiveness of an educational unit to develop students' skills in designing fashion shows using virtual reality and its impact on electronic shopping in Asir region, Saudi Arabia",,"[""Randa Mounir Elkherbaway"", ""Samar Ahmed Kanona"", ""Ngawha Kamel Bosiala""]",ajsrp,finalpdfs/6519-6167.pdf
,Introducing innovative designs for horse riding clothing for women in the Kingdom of Saudi Arabia,,"[""Abrar Hashim Alattas"", ""Hana Abdullah Alamodi""]",ajsrp,finalpdfs/6520-6168.pdf
,From natural translation to translation competence Pedagogical implications,,"[""Habiba Nakhli""]",ajsrp,finalpdfs/6521-6169.pdf
,E-Marketing of Information Services in Yemeni Private University Libraries in Sana'a City,,"[""Samar Gamal Al-Habbari""]",ajsrp,finalpdfs/6522-6170.pdf
,Towards a national ecosystem to create scientists and sovereign knowledge,,"[""Bandar Abdullah Al-Saud"", ""Abdulhamid Abdurahman Al-Abduljabbar""]",ajsrp,finalpdfs/6191-5886.pdf
,Manifestations of religious dialogue between Muslims and Jews Secular Jews as a model,,"[""Maha Dahawi Al-Shamari""]",ajsrp,finalpdfs/6193-5887.pdf
,A study on the Chinese translation Strategies of Arabic Proverbs  from the Perspective of Cultural Translation,,"[""Yuan Linxian""]",ajsrp,finalpdfs/6194-5888.pdf
,A pragmatic Analysis of the Interrogative Illocutionary Acts with Reference  to Arabic Text of Surah As- Saffat in the Holy Qurn,,"[""Adel Ahmed Abdullah Al-Mekhlafy"", ""Abdusalam Mohammed Ghaleb Al-Ghrafy""]",ajsrp,finalpdfs/6333-6026.pdf
,Analysing the Power of Language in a Political Text,,"[""Suhair Adel Abdulamir""]",ajsrp,finalpdfs/6334-6027.pdf
,Application of Abaoub- Shkheam Transform for Solving Linear Partial Integro  Differential Equations,,"[""Suad Mawloud Zali""]",ajsrp,finalpdfs/6335-6028.pdf
,Constrained Probabilistic multi-source Continuous Review Inventory Model with Dagum and Kumaraswamy-Dagum distributions,,"[""Hala Ali Fergany"", ""Amani Saeed Alghamdi"", ""Amsha Zayed Almutairi""]",ajsrp,finalpdfs/6336-6029.pdf
,Quality of pharmaceutical care service on patient satisfaction  in the government health sector in the Kingdom of Saudi Arabia,,"[""Muhammad Saud Al-Khathlan"", ""Turki Abdel Aziz Al-Turki"", ""Anwar Ibrahim Al-Afnan"", ""Bandar Abdullah Al-Zoghaibi"", ""AbdulRahman Zabin Al-Mutairi"", ""Ibrahim Mohamed Bagader"", ""Raghad AbdelKarim Abdo"", ""Safia Mohammed Al-Dosari"", ""Abdullah Zabin Al-Mutairi"", ""Wafaa Daoud Al-Jareed"", ""Youssef Saleh Al-Haidan""]",ajsrp,finalpdfs/5945-5669.pdf
,"The effect of social networks on forming a mental image of European countries Britain, Sweden, Norway according to a sample of Saudi youth",,"[""Mohammed Ahmad Asiri""]",ajsrp,finalpdfs/5946-5670.pdf
,"Language as a part of the culture and civilization of the peoples of the world Human origin language, evolution, and theories",,"[""Jehad Feyzolaslam""]",ajsrp,finalpdfs/5947-5671.pdf
,The Establishment of the Idrisid State in Al-Maghrib Al-Aqsa (Morocco) (172-375 AH / 788-985 AD),,"[""Amal Mohamed Toheri""]",ajsrp,finalpdfs/5948-5672.pdf
,Walid Jumbaltt's position on AlJabel war 1982-1984,,"[""Fathi Abbas Khalaf"", ""Heba Muwafak Younis AlRawas""]",ajsrp,finalpdfs/5949-5673.pdf
,The development of love literature and Adoring in medieval culture Arabic classical,,"[""Mahmoud Jamal Rayyan""]",ajsrp,finalpdfs/5950-5674.pdf
,Rationalized Haar Series for Approach Homogeneous and Non-Homogeneous State Equations,,"[""Khalid Hadi Hameed Al-Jourany""]",ajsrp,finalpdfs/5951-5676.pdf
,A Critical and Textual Discourse Analysis of Beauty Product Advertisements,,"[""Mahasin Abdulqadir Hasan""]",ajsrp,finalpdfs/5952-5675.pdf
,The two-state solution from the point of view of the Israeli right,,"[""Mohammed Asaad Diab Ewaiwi""]",ajsrp,finalpdfs/5692-5424.pdf
,The Effectiveness of a Group Counseling Program Based on the Elective Theory in Reducing Emotional Regulation Problems and Among Mothers of Adolescents in Jordan,,"[""Manal Naji Khaleel""]",ajsrp,finalpdfs/5693-5425.pdf
,Comparison of ARDL Model and NARDL Model A standard Study by application on The Factors Affecting the Rate of Sudanese Economic Growth for the period (1990-2020),,"[""Imtithal Mergny Mohammed Ahmed"", ""Afra Hashim Abdelateef""]",ajsrp,finalpdfs/5694-5426.pdf
,"The structure of the scientific perception of the world, sanctification  for knowledge or secularization of it",,"[""Sabah Kara""]",ajsrp,finalpdfs/5695-5427.pdf
,Corpus Linguistics Definition and areas of use,,"[""Ali Gharamah Alshehri""]",ajsrp,finalpdfs/5696-5428.pdf
,"The relationship of the representative of the Levant, Nakz Al-  Husami, with the Mamluk Sultan Al-Nasir Muhammad bin Qalawun (712-  740 AH/ 1312-  1339/1340 AD)",,"[""AbdulJabbar Ahmed Al-Amlah""]",ajsrp,finalpdfs/5697-5429.pdf
,Teaching Mathematics with a Dual Analysis and Synthesis Strategy and its effect in developing Scientific Inquiry Skills among Secondary Stage Students in the State of Kuwait,,"[""Mshari Matar Alshamari"", ""Abdullah Salem Alzou’bi""]",ajsrp,finalpdfs/5365-5108.pdf
,Jurisprudence Conditioning of Defense Law No (13) of 1992 in the Hashemite Kingdom of Jordan,,"[""Iman Madallah Althbeitat Alamro""]",ajsrp,finalpdfs/5366-5109.pdf
,Integration of Geographic Information System (GIS) and Analytical Hierarchical Process (AHP) for Dams site selection in Wadi Numan watershed in the Holy City of Mecca,,"[""Oula Ali Hakeem"", ""Sarra Al-Habib Ouerghi""]",ajsrp,finalpdfs/5367-5110.pdf
,The Impact of Teaching Reading Texts Using Reigiluth Elaboration Model in Linguistic Patterns Acquisition and Learning Retention among Third Basic Grade Students in Jordan,,"[""Ahmed Ali Al-Abed Al-Azeez"", ""Yaseen Ali Al-Maqosi""]",ajsrp,finalpdfs/5369-5112.pdf
,The Relationship of The Sultanate of Dar Ouadda with The Ottoman Empire,,"[""Assadik Ahmad Adam""]",ajsrp,finalpdfs/5370-5113.pdf
,"Approximation of functions in Lipschitz class with Muckenhoupt Weights Lip (,p,w) Using Matrix Operator",,"[""Omar Mahmoud Nattouf"", ""Mohammad Mahmoud Amer""]",ajsrp,finalpdfs/5371-5114.pdf
,A Study about One Representation of the Hamiltonian Complex finite dimensional Lie Algebra,,"[""Nader Mahmoud Taffach""]",ajsrp,finalpdfs/5372-5115.pdf
,Building of the Simile in Dariat Abi Alaa Al Marie,,"[""Haneen Shaker Al- Sharif""]",ajsrp,finalpdfs/4809-4580.pdf
,Calligraphy Its historical roots and its philosophical and aesthetic impact,,"[""Saad Jihad ATTIYA""]",ajsrp,finalpdfs/4810-4581.pdf
,The Infinitesimal Holomorphically Projective Deformations of Special Parabolically Kahlerian Spaces,,"[""Namer Hasan Ebou""]",ajsrp,finalpdfs/4811-4582.pdf
,Fuzzy Ideals of Pre A Algebras Pre A,,"[""Sahar Faisal Al-haj Rabye, Haytham Arabi""]",ajsrp,finalpdfs/4812-4583.pdf
,Almost Sure Convergence of The kNN Regression Estimate under Mixing condition K,,"[""Dema Ahmad Al-shakh, Mohamed Deribati, Ahmad Younso""]",ajsrp,finalpdfs/4813-4584.pdf
,The use of modern television technology and its impact on increasing viewing of news programs on Jordanian television from the perspective of employees and technicians working in the news programs,,"[""Malik Rehab Al- Azza, Ezzat Moh’d Hijab""]",ajsrp,finalpdfs/4411-4344.pdf
,The effect of encounter in the experimental novel A stylistic study in Jamal Al Ghitanis Tajalliyat novel,,"[""Bassam Khaled Al- Shawi, Zainab Walid Hayek""]",ajsrp,finalpdfs/4412-4169.pdf
,Readings in spatial patterns in space of Bibi Fatima and the Kings sons novel By Sheikh Dr Sultan bin Mohammed Al Qasimi,,"[""Najeya Ali Rashid Alkharji""]",ajsrp,finalpdfs/4413-4170.pdf
,Statistical estimates bias for data with missing values Nonresponse study,,"[""Hadeel Mohammad Darwish, Muhammad Mazyad Drybati, Mounzer Hasan Boubou""]",ajsrp,finalpdfs/4414-4171.pdf
,Proverbs of the Arabs and their impact on preference in the interpretation of AlNisaburi A comparative descriptive study,,"[""Rana M.Salah Eddin Mousa, Ali Muhammed Asa'ad""]",ajsrp,finalpdfs/4415-4172.pdf
,The motives of Palestinian journalists reluctance to practice investigative journalism,,"[""Omar Issa Fatafta""]",ajsrp,finalpdfs/4416-4173.pdf
,Abi Ali AlFarisis jurisprudence in explaining the letters of meanings in deleting them adding them including them and increasing them The book of AlSheer as a model,,"[""Hasan Morshed Al-Mohamad, Isam Derar Al-Kousa""]",ajsrp,finalpdfs/4417-4175.pdf
